"UnitID"	"additionalID"	"collection"	"label_created_by"	"Notes"	"samplingcode"	"continent"	"country"	"Province"	"Municipality"	"exact_site"	"LatitudeDMSDegrees"	"LatitudeDMSMinutes"	"LatitudeDMSSeconds"	"LatitudeDMS_N_S"	"LongitudeDMSDegrees"	"LongitudeDMSMinutes"	"LongitudeDMSSeconds"	"LongitudeDMS_W_E"	"LatitudeDecimal"	"LongitudeDecimal"	"coordinates_original"	"Sampling_PeriodOfDay"	"elevationinmeters"	"CollectedBy"	"samplingMethod"	"expedition_project"	"CollectionStartDay"	"CollectionStartMonth"	"CollectionStartYear"	"CollectionEndDay"	"CollectionEndMonth"	"CollectionEndYear"	"localityNotes"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"IdentificationHistory1Notion"	"IdentificationHistory1Value"	"IdentificationHistory1Status"	"FullScientificName"	"Taxon_Notes"	"IdentifiedBy"	"IdentificationDay"	"IdentificationMonth"	"IdentificationYear"	"TypeStatus"	"Identification_Notes"	"DNA_Tag"	"DNA_box"	"DNA_tube"	"DNA_HPos"	"DNA_VPos"	"DNA_Notes"	"ecology_Water_temperature"	"Sampling_Hour"	"ecology_PH"	"ecology_mV"	"ecology_Conductivity"	"ecology_O2_Perc"	"ecology_O2_mg"	"ecology_hPa"	"ecology_Air_Temperature"	"ecology_Relative_Humidity"	"Ecology"	"acquisition_category"	"acquiredFrom"	"acquisitionDay"	"acquisitionMonth"	"acquisitionYear"	"Acquisition_Notes"	"sex"	"lifeStage"	"associationType"	"associatedUnitID"	"maleCount"	"femaleCount"	"juvenileCount"	"totalNumber"	"notes_Counts"	"institution"	"building"	"floor"	"room"	"row"	"column"	"shelf"	"specimen_status"	"specimen_part"	"ContainerName"	"ContainerType"	"ContainerStorage"	"SubcontainerName"	"SubcontainerType"	"SubcontainerStorage"	"StorageNotes"	"associationDomain"
"RMCA_VERMES_43460"	"Kat1A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43461"	"Kat2A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43462"	"Kat2B"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"tiberianus"	""	"Paperna, 1960"	"Taxon."	"Cichlidogyrus tiberianus  Paperna, 1960"	""	"Cichlidogyrus tiberianus  Paperna, 1960"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43463"	"Kat2C"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	""	""	""	"Taxon."	"Cichlidogyrus   "	""	"Cichlidogyrus   "	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43464"	"Kat3A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43465"	"Kat3B"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"tiberianus"	""	"Paperna, 1960"	"Taxon."	"Cichlidogyrus tiberianus  Paperna, 1960"	""	"Cichlidogyrus tiberianus  Paperna, 1960"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43466"	"Kat3C"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	""	""	""	"Taxon."	"Cichlidogyrus   "	""	"Cichlidogyrus   "	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43467"	"Kat4A1"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43468"	"Kat4A2"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43469"	"Kat4A3"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43470"	"Kat5A1"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43471"	"Kat5A2"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43472"	"Kat5B"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43473"	"Kat6A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43474"	"Kat6B1"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43475"	"Kat6B2"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43476"	"Kat6B3"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43477"	"Kat7A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43478"	"Kat8A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43479"	"Kat9A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43480"	"Kat9B"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43481"	"Kat9C"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43482"	"Kat10A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43483"	"Kat10B"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43484"	"Kat10C"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43485"	"Kat11A"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"quaestio"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"Cichlidogyrus quaestio  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43486"	"Kat12A1"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"RMCA_VERMES_43487"	"Kat12A2"	""	"Michiel Jorissen& Christophe Allard"	"worm voucher on microscope slide in Hoyer's"	""	"Africa"	"Democratic Republic of the Congo"	"Haut-Katanga"	""	"Lake Tshangalele"	"10"	"55"	"0"	"S"	"26"	"58"	"0"	"E"	""	""	""	""	""	"Vanhove"	""	""	""	""	""	""	""	""	""	""	"Platyhelminthes"	"Monogenea"	"Monopisthocotylea"	"Dactylogyridae"	"Cichlidogyrus"	"dossoui"	""	"Douëllou, 1993"	"Taxon."	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"Cichlidogyrus dossoui  Douëllou, 1993"	""	"M. Jorissen"	""	""	""	""	"Coptodon rendalli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Africamuseum"	"Africa Palace"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
