UnitID	additionalID	collection	label_created_by	Notes	samplingcode	continent	country	Province	Municipality	exact_site	LatitudeDMSDegrees	LatitudeDMSMinutes	LatitudeDMSSeconds	LatitudeDMS_N_S	LongitudeDMSDegrees	LongitudeDMSMinutes	LongitudeDMSSeconds	LongitudeDMS_W_E	LatitudeDecimal	LongitudeDecimal	coordinates_original	Sampling_PeriodOfDay	elevationinmeters	CollectedBy	samplingMethod	expedition_project	CollectionStartDay	CollectionStartMonth	CollectionStartYear	CollectionEndDay	CollectionEndMonth	CollectionEndYear	localityNotes	kingdom	phylum	class	order	family	genus	species	sub_species	author_team_and_year	IdentificationHistory1Notion	IdentificationHistory1Value	IdentificationHistory1Status	FullScientificName	Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	ecology_Water_temperature	Sampling_Hour	ecology_PH	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_hPa	ecology_Air_Temperature	ecology_Relative_Humidity	Ecology	acquisition_category	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	associationType	associatedUnitID	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	institution	building	floor	room	row	column	shelf	specimen_status	specimen_part	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	associationDomain
BE_RMCA_MOL.DNA.000024	FP3_BUL30	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796408	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000025	FP3_BUL31	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796409	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000026	FP3_BUL32	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796410	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000027	FP3_BUL33	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796411	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000028	FP3_BUL34	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796412	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000029	FP3_BUL35	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796413	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000030	FP3_BUL36	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796414	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000031	FP3_BUL37	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796415	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000032	FP3_BUL38	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796416	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000033	FP3_BUL39	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796417	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
BE_RMCA_MOL.DNA.000034	FP3_BUL4	2019_BUL_DNA 	Cyril Hammoud	Bulinus snail collected in crater lake of western Uganda (February 2019) for TRAIL-be, PhD project	FP3	Africa	Uganda			Lake Kyaninga									0,700842	30,29727		Day	1531	Julius Tumusiime, Cyril Hammoud, Lore Goethals	Inspection of vegetation + dredging using metal sieve	TRAIL	3	2	2019	28	2	2019		Animalia	Mollusca	Gastropoda		Planorbidae	Bulinus				Taxon.	Bulinus   		Bulinus   	Bulinus sp.	Cyril Hammoud, Julius Tumusiime	28	2	2019			AB43796382	3,01E+13					24,8	12:20	8,65		410	0,588																					RMCA	CAPA	2	dried DNA vault													
